api_hash,user_name,file_token,service,summary_code,summary_status,summary_desc,http_code,procesoConvenioGuid,convenio,documento,img_size_near_img_width,img_size_near_img_height,img_size_far_img_width,img_size_far_img_height,image_quality_near_img,image_quality_far_img,same_image_quality,aspect_ratio_near_img,aspect_ratio_far_img,same_aspect_ratio,score_liqe_near_img,score_liqe_far_img,score_topiq_near_img,score_topiq_far_img,score_sharpness_classic_metrics_near_img,score_sharpness_classic_metrics_far_img,score_colorfulness_classic_metrics_near_img,score_colorfulness_classic_metrics_far_img,score_contrast_classic_metrics_near_img,score_contrast_classic_metrics_far_img,score_brightness_classic_metrics_near_img,score_brightness_classic_metrics_far_img,score_blur_score_classic_metrics_near_img,score_blur_score_classic_metrics_far_img,score_svd_score_classic_metrics_near_img,score_svd_score_classic_metrics_far_img,prob_as_35_selfies_near_img,prob_as_35_selfies_far_img,prob_ibeta2_crops_near_img,prob_ibeta2_crops_far_img,prob_ibeta2_full_near_img,prob_ibeta2_full_far_img,prob_ibeta2_clip_near_img,prob_ibeta2_clip_far_img,prob_as_heuristics_near_img,prob_as_heuristics_far_img,date,date_year,date_month,date_day,date_day_off_week,date_hour,date_minute,total_time_ms_accessory_detector,total_time_ms_face_detector,total_time_ms_liqe,total_time_ms_topiq,total_time_ms_classic_metrics,total_time_ms_as_35_selfies,total_time_ms_ibeta2_crops,total_time_ms_ibeta2_full,total_time_ms_ibeta2_clip,total_time_ms_geometry_check,total_time_ms_all_mircroservices,total_time_ms_other_mircroservices,total_time_ms
02bc5e7,user_name_1,HLqbPi2Mbg,main,1400,ok,antispoofing OK,200,procesoConvenioGuid_1,convenio_1,documento_1,590,896,590,896,SD,SD,True,PORTRAIT,PORTRAIT,True,2.8209,2.5257,0.6326,0.5968,0.56482863,0.51374745,36.10653,35.724037,36.507553,34.08228,0.2835139,0.26659942,0.42846176,0.44192234,0.7028084,0.7237792,0.99996775,0.99998766,0.99999905,0.9999999,0.9999999,0.9999999,0.9999354,0.99965644,0.9998392,0.9998388,2025-01-08 22:10:36.542487-05:00,2025,January,8,Wednesday,22,10,106.0,119.0,373.0,616.0,614.0,191.0,157.0,174.0,23.0,19.0,2392.0,-188.0,2204
02bc5e7,user_name_1,Csl5ZGg2Jg,main,1400,ok,antispoofing OK,200,procesoConvenioGuid_2,convenio_1,documento_2,590,896,590,896,SD,SD,True,PORTRAIT,PORTRAIT,True,3.5625,3.4051,0.6315,0.608,0.43779662,0.40675175,33.86346,33.67558,60.09725,60.73776,0.4498946,0.4573157,0.47125274,0.4809991,0.6857936,0.69894004,0.9999828,0.9999318,1.0,1.0,1.0,1.0,0.9968393,0.9870105,0.99983555,0.99982333,2025-01-08 22:16:14.887930-05:00,2025,January,8,Wednesday,22,16,67.0,91.0,216.0,334.0,274.0,118.0,118.0,100.0,24.0,25.0,1367.0,273.0,1640
02bc5e7,user_name_1,sWKm2qha-A,main,302,error,blur/haze,200,procesoConvenioGuid_3,convenio_1,documento_3,736,648,736,648,SD,SD,True,LANDSCAPE,LANDSCAPE,True,1.0076,-2.0,0.305,-2.0,0.6043293,-2.0,24.451355,-2.0,39.91373,-2.0,0.30898374,-2.0,0.4054179,-2.0,0.74562913,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2025-01-08 22:28:26.157333-05:00,2025,January,8,Wednesday,22,28,83.0,91.0,64.0,157.0,75.0,0.0,0.0,0.0,0.0,0.0,470.0,229.0,699
02bc5e7,user_name_1,XIZzVUa7iQ,main,406,error,non-frontal,200,procesoConvenioGuid_4,convenio_1,documento_4,590,896,590,896,SD,SD,True,PORTRAIT,PORTRAIT,True,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2025-01-08 22:41:38.050918-05:00,2025,January,8,Wednesday,22,41,69.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,531.0,692
02bc5e7,user_name_1,ztDiYSlG4g,main,302,error,blur/haze,200,procesoConvenioGuid_5,convenio_1,documento_3,736,648,736,648,SD,SD,True,LANDSCAPE,LANDSCAPE,True,1.0024,-2.0,0.3274,-2.0,0.79027236,-2.0,26.81891,-2.0,53.03961,-2.0,0.44350725,-2.0,0.3671938,-2.0,0.7572077,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2025-01-08 22:45:42.796236-05:00,2025,January,8,Wednesday,22,45,83.0,92.0,86.0,176.0,123.0,0.0,0.0,0.0,0.0,0.0,560.0,365.0,925
02bc5e7,user_name_1,fR3aypPQGg,main,1400,ok,antispoofing OK,200,procesoConvenioGuid_6,convenio_1,documento_5,736,648,736,648,SD,SD,True,LANDSCAPE,LANDSCAPE,True,1.2423,1.017,0.4254,0.3585,0.20288116,0.13258427,34.220333,33.77513,39.736317,34.55059,0.32235953,0.27220246,0.46715462,0.5141066,0.7361459,0.7727743,0.9999831,0.9998677,1.0,1.0,1.0,1.0,0.99829537,0.9835661,0.9998373,0.9998188,2025-01-08 22:50:00.843492-05:00,2025,January,8,Wednesday,22,50,82.0,88.0,178.0,377.0,160.0,167.0,175.0,139.0,42.0,7.0,1415.0,315.0,1730
02bc5e7,user_name_1,KAXtjDRLWw,main,1400,ok,antispoofing OK,200,procesoConvenioGuid_7,convenio_1,documento_3,736,648,736,648,SD,SD,True,LANDSCAPE,LANDSCAPE,True,1.2002,1.1276,0.4628,0.4234,0.2913987,0.30034572,32.447628,32.34929,53.483307,55.03869,0.40729052,0.4151637,0.5259605,0.53492796,0.7512763,0.7627035,0.99994415,0.99990237,0.99997234,0.99999976,1.0,1.0,0.9964966,0.99411255,0.99983513,0.9998323,2025-01-08 22:53:09.765574-05:00,2025,January,8,Wednesday,22,53,83.0,90.0,242.0,343.0,295.0,183.0,146.0,140.0,60.0,6.0,1588.0,42.0,1630
02bc5e7,user_name_1,6-LVmex45Q,main,1400,ok,antispoofing OK,200,procesoConvenioGuid_8,convenio_1,documento_3,736,648,736,648,SD,SD,True,LANDSCAPE,LANDSCAPE,True,1.3337,1.1049,0.425,0.4332,0.2515828,0.27316645,33.843063,32.037056,55.120953,52.68373,0.32955033,0.29030135,0.5575671,0.54497176,0.7607649,0.7634933,0.9999147,0.99973786,1.0,1.0,1.0,1.0,0.9992694,0.99677104,0.9998385,0.9998355,2025-01-08 22:54:55.947408-05:00,2025,January,8,Wednesday,22,54,82.0,89.0,157.0,336.0,194.0,147.0,125.0,135.0,32.0,6.0,1303.0,351.0,1654
02bc5e7,user_name_1,jPS6VCWzhQ,main,1400,ok,antispoofing OK,200,procesoConvenioGuid_9,convenio_1,documento_6,590,896,590,896,SD,SD,True,PORTRAIT,PORTRAIT,True,3.4185,3.0275,0.6265,0.5523,0.4257534,0.33640385,37.068935,39.035213,51.628647,50.353165,0.3910289,0.3881635,0.44172913,0.4805207,0.70551115,0.72111374,0.99999887,0.99999297,1.0,1.0,0.9999999,1.0,0.99271846,0.99764293,0.9998305,0.99983644,2025-01-08 22:59:06.386659-05:00,2025,January,8,Wednesday,22,59,68.0,90.0,88.0,360.0,150.0,139.0,163.0,112.0,51.0,6.0,1227.0,424.0,1651
02bc5e7,user_name_1,ibFVRAE-8A,main,1400,ok,antispoofing OK,200,procesoConvenioGuid_10,convenio_1,documento_7,568,1280,568,1280,SD,SD,True,PORTRAIT,PORTRAIT,True,2.9388,1.2627,0.7033,0.4226,0.6303945,0.50688905,19.88918,16.776169,42.802795,40.836063,0.24568719,0.25621986,0.43217656,0.5469783,0.65033287,0.7638866,0.9999826,0.9997876,0.99999905,1.0,0.99999976,0.9991466,0.9929408,0.98560494,0.9998308,0.9998206,2025-01-08 23:01:16.676529-05:00,2025,January,8,Wednesday,23,1,57.0,134.0,322.0,437.0,239.0,124.0,114.0,133.0,37.0,7.0,1604.0,202.0,1806
